family,model,algo,L,N,sweeps,repeat,wall_s,sweeps_per_s,updates_per_s,vmpeak_kb,vmhwm_kb,threads
mixed,tmfeo3-bilinear,metropolis,4,512,300,2,5.335995e-02,5.622195e+03,2.878564e+06,240752,14352,4
mixed,tmfeo3-bilinear,over,4,512,300,0,4.778370e-02,6.278292e+03,3.214485e+06,240752,14352,4
mixed,tmfeo3-bilinear,over,4,512,300,1,4.338760e-02,6.914419e+03,3.540182e+06,240752,14352,4
mixed,tmfeo3-bilinear,over,4,512,300,2,5.140658e-02,5.835829e+03,2.987944e+06,240752,14352,4
mixed,tmfeo3-bilinear,met+5over,4,512,300,0,2.850851e-01,1.052318e+03,5.387866e+05,240752,14352,4
mixed,tmfeo3-bilinear,met+5over,4,512,300,1,2.842969e-01,1.055235e+03,5.402802e+05,240752,14352,4
mixed,tmfeo3-bilinear,met+5over,4,512,300,2,2.653152e-01,1.130730e+03,5.789340e+05,240752,14352,4
mixed,tmfeo3-trilinear,metropolis,4,512,300,0,7.639298e-02,3.927063e+03,2.010656e+06,241940,15672,4
mixed,tmfeo3-trilinear,metropolis,4,512,300,1,8.003056e-02,3.748568e+03,1.919267e+06,241940,15672,4
mixed,tmfeo3-trilinear,metropolis,4,512,300,2,6.909192e-02,4.342042e+03,2.223125e+06,241940,15672,4
mixed,tmfeo3-trilinear,over,4,512,300,0,5.284247e-02,5.677252e+03,2.906753e+06,241940,15672,4
mixed,tmfeo3-trilinear,over,4,512,300,1,5.959531e-02,5.033954e+03,2.577384e+06,241940,15672,4
mixed,tmfeo3-trilinear,over,4,512,300,2,5.363589e-02,5.593270e+03,2.863754e+06,241940,15672,4
mixed,tmfeo3-trilinear,met+5over,4,512,300,0,3.644196e-01,8.232269e+02,4.214922e+05,241940,15672,4
mixed,tmfeo3-trilinear,met+5over,4,512,300,1,3.476534e-01,8.629284e+02,4.418193e+05,241940,15672,4
mixed,tmfeo3-trilinear,met+5over,4,512,300,2,3.982703e-01,7.532572e+02,3.856677e+05,241940,15672,4
strain,strain-honeycomb-bilin,metropolis,24,1152,300,0,3.082413e-02,9.732634e+03,1.121199e+07,241940,15672,4
strain,strain-honeycomb-bilin,metropolis,24,1152,300,1,3.179007e-02,9.436908e+03,1.087132e+07,241940,15672,4
strain,strain-honeycomb-bilin,metropolis,24,1152,300,2,2.853479e-02,1.051348e+04,1.211153e+07,241940,15672,4
strain,strain-honeycomb-bilin,over,24,1152,300,0,2.442872e-02,1.228063e+04,1.414728e+07,241940,15672,4
strain,strain-honeycomb-bilin,over,24,1152,300,1,2.582022e-02,1.161880e+04,1.338486e+07,241940,15672,4
strain,strain-honeycomb-bilin,over,24,1152,300,2,2.487507e-02,1.206027e+04,1.389343e+07,241940,15672,4
strain,strain-honeycomb-bilin,met+5over,24,1152,300,0,1.521422e-01,1.971840e+03,2.271560e+06,241940,15672,4
strain,strain-honeycomb-bilin,met+5over,24,1152,300,1,1.634898e-01,1.834977e+03,2.113894e+06,241940,15672,4
strain,strain-honeycomb-bilin,met+5over,24,1152,300,2,1.833573e-01,1.636150e+03,1.884844e+06,241940,15672,4
strain,strain-honeycomb-me,metropolis,24,1152,300,0,3.222759e-02,9.308795e+03,1.072373e+07,241940,15672,4
strain,strain-honeycomb-me,metropolis,24,1152,300,1,2.995185e-02,1.001608e+04,1.153852e+07,241940,15672,4
strain,strain-honeycomb-me,metropolis,24,1152,300,2,2.971321e-02,1.009652e+04,1.163119e+07,241940,15672,4
strain,strain-honeycomb-me,over,24,1152,300,0,2.921645e-02,1.026819e+04,1.182895e+07,241940,15672,4
strain,strain-honeycomb-me,over,24,1152,300,1,3.027284e-02,9.909872e+03,1.141617e+07,241940,15672,4
strain,strain-honeycomb-me,over,24,1152,300,2,3.034895e-02,9.885022e+03,1.138755e+07,241940,15672,4
strain,strain-honeycomb-me,met+5over,24,1152,300,0,1.827293e-01,1.641773e+03,1.891322e+06,241940,15672,4
strain,strain-honeycomb-me,met+5over,24,1152,300,1,1.846601e-01,1.624607e+03,1.871547e+06,241940,15672,4
strain,strain-honeycomb-me,met+5over,24,1152,300,2,1.774999e-01,1.690142e+03,1.947044e+06,241940,15672,4
lattice,heisenberg-honeycomb,metropolis,32,2048,300,0,6.187536e-03,4.848457e+04,9.929639e+07,71308,8644,8
lattice,heisenberg-honeycomb,metropolis,32,2048,300,1,6.727939e-03,4.459018e+04,9.132069e+07,71308,8644,8
lattice,heisenberg-honeycomb,metropolis,32,2048,300,2,6.257180e-03,4.794492e+04,9.819120e+07,71308,8644,8
lattice,heisenberg-honeycomb,over,32,2048,300,0,2.949496e-03,1.017123e+05,2.083068e+08,71308,8644,8
lattice,heisenberg-honeycomb,over,32,2048,300,1,2.893528e-03,1.036797e+05,2.123359e+08,71308,8644,8
lattice,heisenberg-honeycomb,over,32,2048,300,2,4.957470e-03,6.051474e+04,1.239342e+08,71308,8644,8
lattice,heisenberg-honeycomb,met+5over,32,2048,300,0,2.715449e-02,1.104790e+04,2.262609e+07,71308,8644,8
lattice,heisenberg-honeycomb,met+5over,32,2048,300,1,2.568240e-02,1.168115e+04,2.392300e+07,71308,8644,8
lattice,heisenberg-honeycomb,met+5over,32,2048,300,2,2.969619e-02,1.010231e+04,2.068952e+07,71308,8644,8
lattice,heisenberg-honeycomb,wolff,32,2048,300,0,1.471708e-03,2.038448e+05,4.174741e+08,71308,8644,8
lattice,heisenberg-honeycomb,wolff,32,2048,300,1,1.196061e-03,2.508233e+05,5.136862e+08,71308,8644,8
lattice,heisenberg-honeycomb,wolff,32,2048,300,2,1.118216e-03,2.682845e+05,5.494466e+08,71308,8644,8
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,300,0,2.657084e-02,1.129057e+04,2.312309e+07,71444,8644,8
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,300,1,2.620224e-02,1.144940e+04,2.344838e+07,71444,8644,8
lattice,heisenberg-honeycomb,swendsen_wang,32,2048,300,2,2.706488e-02,1.108448e+04,2.270101e+07,71444,8644,8
lattice,kitaev-honeycomb,metropolis,32,2048,300,0,5.005608e-03,5.993278e+04,1.227423e+08,71444,8872,8
lattice,kitaev-honeycomb,metropolis,32,2048,300,1,6.256775e-03,4.794802e+04,9.819755e+07,71444,8872,8
lattice,kitaev-honeycomb,metropolis,32,2048,300,2,6.792570e-03,4.416590e+04,9.045177e+07,71444,8872,8
lattice,kitaev-honeycomb,over,32,2048,300,0,3.353527e-03,8.945805e+04,1.832101e+08,71444,8872,8
lattice,kitaev-honeycomb,over,32,2048,300,1,3.028717e-03,9.905184e+04,2.028582e+08,71444,8872,8
lattice,kitaev-honeycomb,over,32,2048,300,2,2.985283e-03,1.004930e+05,2.058096e+08,71444,8872,8
lattice,kitaev-honeycomb,met+5over,32,2048,300,0,2.557302e-02,1.173111e+04,2.402532e+07,71444,8872,8
lattice,kitaev-honeycomb,met+5over,32,2048,300,1,2.723319e-02,1.101597e+04,2.256071e+07,71444,8872,8
lattice,kitaev-honeycomb,met+5over,32,2048,300,2,2.576644e-02,1.164305e+04,2.384497e+07,71444,8872,8
lattice,kitaev-honeycomb,wolff,32,2048,300,0,1.084147e-03,2.767152e+05,5.667128e+08,71444,8872,8
lattice,kitaev-honeycomb,wolff,32,2048,300,1,1.053896e-03,2.846581e+05,5.829797e+08,71444,8872,8
lattice,kitaev-honeycomb,wolff,32,2048,300,2,1.054663e-03,2.844511e+05,5.825558e+08,71444,8872,8
lattice,kitaev-honeycomb,swendsen_wang,32,2048,300,0,1.534176e-02,1.955447e+04,4.004755e+07,71444,8872,8
lattice,kitaev-honeycomb,swendsen_wang,32,2048,300,1,1.487014e-02,2.017466e+04,4.131771e+07,71444,8872,8
lattice,kitaev-honeycomb,swendsen_wang,32,2048,300,2,1.553110e-02,1.931609e+04,3.955935e+07,71444,8872,8
lattice,pyrochlore,metropolis,6,864,300,0,3.377186e-03,8.883135e+04,7.675029e+07,71444,8872,8
lattice,pyrochlore,metropolis,6,864,300,1,4.687210e-03,6.400396e+04,5.529942e+07,71444,8872,8
lattice,pyrochlore,metropolis,6,864,300,2,4.828874e-03,6.212628e+04,5.367711e+07,71444,8872,8
lattice,pyrochlore,over,6,864,300,0,3.880929e-03,7.730108e+04,6.678813e+07,71444,8872,8
lattice,pyrochlore,over,6,864,300,1,3.854764e-03,7.782578e+04,6.724147e+07,71444,8872,8
lattice,pyrochlore,over,6,864,300,2,4.123690e-03,7.275038e+04,6.285633e+07,71444,8872,8
lattice,pyrochlore,met+5over,6,864,300,0,2.292620e-02,1.308546e+04,1.130584e+07,71444,8872,8
lattice,pyrochlore,met+5over,6,864,300,1,2.320028e-02,1.293088e+04,1.117228e+07,71444,8872,8
lattice,pyrochlore,met+5over,6,864,300,2,2.500529e-02,1.199746e+04,1.036581e+07,71444,8872,8
lattice,pyrochlore,wolff,6,864,300,0,7.487628e-03,4.006609e+04,3.461710e+07,71444,8872,8
lattice,pyrochlore,wolff,6,864,300,1,7.989525e-03,3.754917e+04,3.244248e+07,71444,8872,8
lattice,pyrochlore,wolff,6,864,300,2,7.108398e-03,4.220360e+04,3.646391e+07,71444,8872,8
lattice,pyrochlore,swendsen_wang,6,864,300,0,2.144313e-02,1.399049e+04,1.208778e+07,71444,8872,8
lattice,pyrochlore,swendsen_wang,6,864,300,1,2.099502e-02,1.428910e+04,1.234579e+07,71444,8872,8
lattice,pyrochlore,swendsen_wang,6,864,300,2,2.115564e-02,1.418062e+04,1.225205e+07,71444,8872,8
mixed,tmfeo3-bilinear,metropolis,4,512,300,0,3.954872e-02,7.585580e+03,3.883817e+06,666756,14244,8
mixed,tmfeo3-bilinear,metropolis,4,512,300,1,4.183591e-02,7.170873e+03,3.671487e+06,666756,14244,8
mixed,tmfeo3-bilinear,metropolis,4,512,300,2,3.693333e-02,8.122745e+03,4.158845e+06,666756,14244,8
mixed,tmfeo3-bilinear,over,4,512,300,0,3.200431e-02,9.373737e+03,4.799353e+06,666756,14244,8
mixed,tmfeo3-bilinear,over,4,512,300,1,2.571474e-02,1.166646e+04,5.973228e+06,666756,14244,8
mixed,tmfeo3-bilinear,over,4,512,300,2,2.836858e-02,1.057508e+04,5.414441e+06,666756,14244,8
mixed,tmfeo3-bilinear,met+5over,4,512,300,0,1.984342e-01,1.511836e+03,7.740600e+05,666756,14244,8
mixed,tmfeo3-bilinear,met+5over,4,512,300,1,2.022540e-01,1.483284e+03,7.594412e+05,666756,14244,8
mixed,tmfeo3-bilinear,met+5over,4,512,300,2,2.089801e-01,1.435543e+03,7.349981e+05,666756,14244,8
mixed,tmfeo3-trilinear,metropolis,4,512,300,0,5.185465e-02,5.785402e+03,2.962126e+06,666756,15564,8
mixed,tmfeo3-trilinear,metropolis,4,512,300,1,5.731930e-02,5.233839e+03,2.679726e+06,666756,15564,8
